distorted_path,reference_path,mos
distorted_images/i01_01_1.bmp,reference_images/i01.bmp,5.51429
distorted_images/i01_01_2.bmp,reference_images/i01.bmp,5.56757
distorted_images/i01_01_3.bmp,reference_images/i01.bmp,4.94444
distorted_images/i01_01_4.bmp,reference_images/i01.bmp,4.37838
distorted_images/i01_01_5.bmp,reference_images/i01.bmp,3.86486
distorted_images/i01_02_1.bmp,reference_images/i01.bmp,6.028569999999998
distorted_images/i01_02_2.bmp,reference_images/i01.bmp,6.10811
distorted_images/i01_02_3.bmp,reference_images/i01.bmp,5.38889
distorted_images/i01_02_4.bmp,reference_images/i01.bmp,4.71429
distorted_images/i01_02_5.bmp,reference_images/i01.bmp,4.36111
distorted_images/i01_03_1.bmp,reference_images/i01.bmp,4.7714300000000005
distorted_images/i01_03_2.bmp,reference_images/i01.bmp,4.27027
distorted_images/i01_03_3.bmp,reference_images/i01.bmp,3.7027
distorted_images/i01_03_4.bmp,reference_images/i01.bmp,3.19444
distorted_images/i01_03_5.bmp,reference_images/i01.bmp,2.71429
distorted_images/i01_04_1.bmp,reference_images/i01.bmp,5.971430000000002
distorted_images/i01_04_2.bmp,reference_images/i01.bmp,5.75676
distorted_images/i01_04_3.bmp,reference_images/i01.bmp,5.27027
distorted_images/i01_04_4.bmp,reference_images/i01.bmp,5.24324
distorted_images/i01_04_5.bmp,reference_images/i01.bmp,4.71429
distorted_images/i01_05_1.bmp,reference_images/i01.bmp,5.91892
distorted_images/i01_05_2.bmp,reference_images/i01.bmp,5.7027
distorted_images/i01_05_3.bmp,reference_images/i01.bmp,5.08333
distorted_images/i01_05_4.bmp,reference_images/i01.bmp,4.13889
distorted_images/i01_05_5.bmp,reference_images/i01.bmp,3.13889
distorted_images/i01_06_1.bmp,reference_images/i01.bmp,4.0
distorted_images/i01_06_2.bmp,reference_images/i01.bmp,3.89189
distorted_images/i01_06_3.bmp,reference_images/i01.bmp,3.72973
distorted_images/i01_06_4.bmp,reference_images/i01.bmp,3.48571
distorted_images/i01_06_5.bmp,reference_images/i01.bmp,2.94444
distorted_images/i01_07_1.bmp,reference_images/i01.bmp,5.08333
distorted_images/i01_07_2.bmp,reference_images/i01.bmp,4.75
distorted_images/i01_07_3.bmp,reference_images/i01.bmp,4.0
distorted_images/i01_07_4.bmp,reference_images/i01.bmp,3.22222
distorted_images/i01_07_5.bmp,reference_images/i01.bmp,2.19444
distorted_images/i01_08_1.bmp,reference_images/i01.bmp,5.18919
distorted_images/i01_08_2.bmp,reference_images/i01.bmp,4.47222
distorted_images/i01_08_3.bmp,reference_images/i01.bmp,3.4864900000000003
distorted_images/i01_08_4.bmp,reference_images/i01.bmp,3.0
distorted_images/i01_08_5.bmp,reference_images/i01.bmp,2.11111
distorted_images/i01_09_1.bmp,reference_images/i01.bmp,6.08333
distorted_images/i01_09_2.bmp,reference_images/i01.bmp,5.16667
distorted_images/i01_09_3.bmp,reference_images/i01.bmp,4.42857
distorted_images/i01_09_4.bmp,reference_images/i01.bmp,2.81081
distorted_images/i01_09_5.bmp,reference_images/i01.bmp,1.54054
distorted_images/i01_10_1.bmp,reference_images/i01.bmp,5.97297
distorted_images/i01_10_2.bmp,reference_images/i01.bmp,5.94595
distorted_images/i01_10_3.bmp,reference_images/i01.bmp,4.91667
distorted_images/i01_10_4.bmp,reference_images/i01.bmp,3.21622
distorted_images/i01_10_5.bmp,reference_images/i01.bmp,2.08108
distorted_images/i01_11_1.bmp,reference_images/i01.bmp,5.91429
distorted_images/i01_11_2.bmp,reference_images/i01.bmp,5.675680000000002
distorted_images/i01_11_3.bmp,reference_images/i01.bmp,4.69444
distorted_images/i01_11_4.bmp,reference_images/i01.bmp,3.67568
distorted_images/i01_11_5.bmp,reference_images/i01.bmp,1.45946
distorted_images/i01_12_1.bmp,reference_images/i01.bmp,5.94595
distorted_images/i01_12_2.bmp,reference_images/i01.bmp,5.86486
distorted_images/i01_12_3.bmp,reference_images/i01.bmp,4.21622
distorted_images/i01_12_4.bmp,reference_images/i01.bmp,3.83333
distorted_images/i01_12_5.bmp,reference_images/i01.bmp,3.43243
distorted_images/i01_13_1.bmp,reference_images/i01.bmp,5.45946
distorted_images/i01_13_2.bmp,reference_images/i01.bmp,3.91429
distorted_images/i01_13_3.bmp,reference_images/i01.bmp,3.2777800000000004
distorted_images/i01_13_4.bmp,reference_images/i01.bmp,3.16667
distorted_images/i01_13_5.bmp,reference_images/i01.bmp,3.10811
distorted_images/i01_14_1.bmp,reference_images/i01.bmp,5.69444
distorted_images/i01_14_2.bmp,reference_images/i01.bmp,6.05405
distorted_images/i01_14_3.bmp,reference_images/i01.bmp,5.75676
distorted_images/i01_14_4.bmp,reference_images/i01.bmp,5.55556
distorted_images/i01_14_5.bmp,reference_images/i01.bmp,4.4705900000000005
distorted_images/i01_15_1.bmp,reference_images/i01.bmp,2.83333
distorted_images/i01_15_2.bmp,reference_images/i01.bmp,2.82857
distorted_images/i01_15_3.bmp,reference_images/i01.bmp,3.10811
